Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 32768	Mean reward: 14.875
Step: 65536	Mean reward: 15.375
Step: 98304	Mean reward: 18.0
Step: 131072	Mean reward: 21.28125
Step: 163840	Mean reward: 27.46875
Step: 196608	Mean reward: 31.125
Step: 229376	Mean reward: 30.34375
Step: 262144	Mean reward: 36.78125
Step: 294912	Mean reward: 38.90625
Step: 327680	Mean reward: 41.46875
Step: 360448	Mean reward: 46.25
Step: 393216	Mean reward: 49.15625
Step: 425984	Mean reward: 52.8125
Step: 458752	Mean reward: 54.71875
Step: 491520	Mean reward: 57.6875
Step: 524288	Mean reward: 56.09375
Step: 557056	Mean reward: 58.625
Step: 589824	Mean reward: 59.84375
Step: 622592	Mean reward: 61.71875
Step: 655360	Mean reward: 59.21875
Step: 688128	Mean reward: 62.65625
Step: 720896	Mean reward: 65.65625
Step: 753664	Mean reward: 64.46875
Step: 786432	Mean reward: 68.65625
Step: 819200	Mean reward: 68.8125
Step: 851968	Mean reward: 69.0
Step: 884736	Mean reward: 70.15625
Step: 917504	Mean reward: 72.6875
Step: 950272	Mean reward: 72.53125
Step: 983040	Mean reward: 70.15625
Step: 1015808	Mean reward: 72.28125
Step: 1048576	Mean reward: 72.40625
Step: 1081344	Mean reward: 75.8125
Step: 1114112	Mean reward: 75.125
Step: 1146880	Mean reward: 74.21875
Step: 1179648	Mean reward: 77.34375
Step: 1212416	Mean reward: 77.3125
Step: 1245184	Mean reward: 77.125
Step: 1277952	Mean reward: 76.65625
Step: 1310720	Mean reward: 78.40625
Step: 1343488	Mean reward: 80.65625
Step: 1376256	Mean reward: 80.03125
Step: 1409024	Mean reward: 79.09375
Step: 1441792	Mean reward: 81.6875
Step: 1474560	Mean reward: 80.84375
Step: 1507328	Mean reward: 81.46875
Step: 1540096	Mean reward: 80.90625
Step: 1572864	Mean reward: 82.4375
Step: 1605632	Mean reward: 82.90625
Step: 1638400	Mean reward: 83.0625
Step: 1671168	Mean reward: 82.0
Step: 1703936	Mean reward: 82.71875
Step: 1736704	Mean reward: 82.59375
Step: 1769472	Mean reward: 82.75
Step: 1802240	Mean reward: 83.4375
Step: 1835008	Mean reward: 83.125
Step: 1867776	Mean reward: 82.3125
Step: 1900544	Mean reward: 82.40625
Step: 1933312	Mean reward: 84.125
Step: 1966080	Mean reward: 84.21875
Step: 1998848	Mean reward: 86.28125
Step: 2031616	Mean reward: 86.6875
Step: 2064384	Mean reward: 86.03125
Step: 2097152	Mean reward: 86.53125
Step: 2129920	Mean reward: 84.28125
Step: 2162688	Mean reward: 84.84375
Step: 2195456	Mean reward: 87.15625
Step: 2228224	Mean reward: 84.3125
Step: 2260992	Mean reward: 88.0
Step: 2293760	Mean reward: 83.59375
Step: 2326528	Mean reward: 85.90625
Step: 2359296	Mean reward: 84.65625
Step: 2392064	Mean reward: 83.6875
Step: 2424832	Mean reward: 84.65625
