Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 2686976	Mean reward: 44.9375
Step: 2703360	Mean reward: 43.375
Step: 2719744	Mean reward: 42.125
Step: 2736128	Mean reward: 44.4375
Step: 2752512	Mean reward: 44.625
Step: 2768896	Mean reward: 45.5
Step: 2785280	Mean reward: 42.65625
Step: 2801664	Mean reward: 44.09375
Step: 2818048	Mean reward: 45.96875
Step: 2834432	Mean reward: 43.6875
Step: 2850816	Mean reward: 45.1875
Step: 2867200	Mean reward: 47.0
Step: 2883584	Mean reward: 43.375
Step: 2899968	Mean reward: 46.53125
Step: 2916352	Mean reward: 44.6875
Step: 2932736	Mean reward: 42.0
Step: 2949120	Mean reward: 46.28125
Step: 2965504	Mean reward: 46.09375
Step: 2981888	Mean reward: 44.78125
Step: 2998272	Mean reward: 43.3125
Step: 3014656	Mean reward: 44.5
Step: 3031040	Mean reward: 46.375
Step: 3047424	Mean reward: 44.40625
Step: 3063808	Mean reward: 46.25
Step: 3080192	Mean reward: 43.375
Step: 3096576	Mean reward: 44.875
Step: 3112960	Mean reward: 45.8125
Step: 3129344	Mean reward: 44.09375
Step: 3145728	Mean reward: 41.65625
Step: 3162112	Mean reward: 42.5625
Step: 3178496	Mean reward: 45.65625
Step: 3194880	Mean reward: 44.96875
Step: 3211264	Mean reward: 45.5625
Step: 3227648	Mean reward: 45.53125
Step: 3244032	Mean reward: 45.5
Step: 3260416	Mean reward: 47.1875
Step: 3276800	Mean reward: 45.03125
Step: 3293184	Mean reward: 45.625
Step: 3309568	Mean reward: 45.46875
Step: 3325952	Mean reward: 44.625
Step: 3342336	Mean reward: 46.9375
Step: 3358720	Mean reward: 44.90625
Step: 3375104	Mean reward: 46.53125
Step: 3391488	Mean reward: 49.03125
Step: 3407872	Mean reward: 44.9375
Step: 3424256	Mean reward: 46.90625
Step: 3440640	Mean reward: 46.1875
Step: 3457024	Mean reward: 43.5625
Step: 3473408	Mean reward: 43.53125
Step: 3489792	Mean reward: 45.15625
Step: 3506176	Mean reward: 46.90625
Step: 3522560	Mean reward: 46.0
Step: 3538944	Mean reward: 47.59375
Step: 3555328	Mean reward: 44.875
Step: 3571712	Mean reward: 46.625
